election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name
2006 PRIMARY,2006-06-06 00:00:00+00:00,ocd-event/c2c717ce-d921-4a44-a09e-478320c65110,ocd-contest/57c793f0-8ca1-4f5f-b160-f2e11e0f79a4,1276095,88,"PROP 81 - SB 1161 (CHAPTER 698, 2004). ALPERT. CALIFORNIA READING AND LITERACY IMPROVEMENT AND PUBLIC LIBRARY CONSTRUCTION AND RENOVATION BOND ACT OF 2006."
2006 PRIMARY,2006-06-06 00:00:00+00:00,ocd-event/c2c717ce-d921-4a44-a09e-478320c65110,ocd-contest/ff90dd5f-1696-4125-a715-acb6cc93d6aa,1282459,89,"PROP 82 - PUBLIC PRESCHOOL EDUCATION. TAX INCREASE ON INCOMES OVER $400,000 FOR INDIVIDUALS; $800,000 FOR COUPLES. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/219bcc85-f217-4013-9f91-4d8a6f877dc2,1286823,90,"PROP 1A - SCA 7 (RESOLUTION 49, 2006). TORLAKSON. TRANSPORTATION INVESTMENT FUND."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/abbca6eb-2341-4901-8eaa-8dc2cb2818e8,1286824,91,"PROP 1B - SB 1266 (CHAPTER 25, 2006). PERATA. HIGHWAY SAFETY, TRAFFIC REDUCTION, AIR QUALITY, PORT SECURITY BOND ACT"
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/fd7e3b5e-068b-48db-9e95-63ddcd19e427,1286826,92,"PROP 1C - SB 1689 (CHAPTER 25, 2006). PERATA. HOUSING AND EMERGENCY SHELTER TRUST FUND ACT OF 2006."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/bb267983-2285-4c8e-80d7-24d2cd446d57,1286827,93,"PROP 1D - AB 127 (CHAPTER 35, 2006). NUNEZ. EDUCATION FACILITIES: KINDERGARTEN-UNIVERSITY PUBLIC EDUCATION FACILITIES BOND ACT OF 2006."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/a25597d7-83d7-4c1d-9bca-eaec09b680a0,1286828,94,"PROP 1E - AB 140 (CHAPTER 33, 2006). NUNEZ. DISASTER PREPAREDNESS AND FLOOD PREVENTION BOND ACT OF 2006."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/7978bee5-c2f1-4037-bc91-17d6395dc757,1285554,95,"PROP 83 - SEX OFFENDERS. SEXUALLY VIOLENT PREDATORS. PUNISHMENT, RESIDENCE RESTRICTIONS AND MONITORING. INITIATIVE STATUTE."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/0c6fd828-ab65-47f6-95fa-e668b1624647,1283864,96,"PROP 84 - WATER QUALITY, SAFETY AND SUPPLY. FLOOD CONTROL. NATURAL RESOURCE PROTECTION. PARK IMPROVEMENTS. BONDS. INITIATIVE STATUTE."
2006 GENERAL,2006-11-07 00:00:00+00:00,ocd-event/c36b524d-5c0a-46bd-bf78-c4ea8c0d0134,ocd-contest/7c295ef3-9f56-4616-b2fc-95e04654b95d,1283871,97,PROP 85 - WAITING PERIOD AND PARENTAL NOTIFICATION BEFORE TERMINATION OF MINOR'S PREGNANCY. INITIATIVE CONSTITUTIONAL AMENDMENT.
