election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name,ccdc_committee_id,calaccess_committee_id,committee_name,committee_position
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,37,990319,YES ON PROP. 22 - CALIFORNIANS FOR PROTECTION OF MARRIAGE,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,38,990089,NO ON KNIGHT - NO ON PROP. 22,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,39,982936,"DEFENSE OF MARRIAGE CAMPAIGN - YES ON PROP. 22, A SPECIAL PROJECT OF COMMITTEE ON MORAL CONCERNS",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,40,991792,STUDENT ALLIANCE FOR FAIRNESS AND EQUALITY,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,41,990715,NO ON KNIGHT-COMMITTEE AGAINST THE KNIGHT INITIATIVE,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,42,1219956,CONCERNED CITIZENS AGAINST PROPOSITION 22,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,43,1220887,"SAN FRANCISCO FOUNDATION COMMUNITY INITIATIVE FUNDS ANTI-DISCRIMINATION EDUCATION COMMITTEE AGAINST PROPOSITION 22, THE",OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,44,1220851,"BUSINESS LEADERS AGAINST PREJUDICE, A COMMITTEE AGAINST PROPOSITION 22",OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,45,1221889,"NATIONAL GAY AND LESBIAN TASK FORCE, INC.",OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,46,992349,AMERICAN FRIENDS SERVICE COMMITTEE AGAINST PROP. 22,OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,47,1221066,"AMERICA NEEDS FATIMA COMMITTEE IN FAVOR OF PROPOSITION 22, SPONSORED BY THE FOUNDATION FOR A CHRISTIAN CIVILIZATION, INC.",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/721fc3d6-e83d-424d-a2c2-aca621481896,1007594,12,PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,48,981204,"CALIFORNIANS FOR THE DEFENSE OF MARRIAGE, A COMMITTEE FOR PROP. 22",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/2d1eb90f-d5ce-4f89-b4fb-ea93d21463c4,1007628,13,"PROP 23 - 2000 ""NONE OF THE ABOVE"" BALLOT OPTION. INITIATIVE STATUTE.",49,983126,"FRIENDS OF ERNEST POLITICAL ACTION COMMITTEE, YES ON 23",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/0ed781fa-c328-44b0-b3a7-d58f1887cf08,1007655,14,PROP 25 - 2000 ELECTION CAMPAIGNS. CONTRIBUTION AND SPENDING LIMITS. PUBLIC FINANCING. DISCLOSURES. INITIATIVE STATUTE.,50,990416,VOTERS RIGHTS 2000 - YES ON 25,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/0ed781fa-c328-44b0-b3a7-d58f1887cf08,1007655,14,PROP 25 - 2000 ELECTION CAMPAIGNS. CONTRIBUTION AND SPENDING LIMITS. PUBLIC FINANCING. DISCLOSURES. INITIATIVE STATUTE.,51,991931,"TAXPAYERS FOR FAIR ELECTIONS/NO ON PROP. 25, A COALITION OF TAXPAYERS, SENIORS, TEACHERS, BUSINESS, LABOR AND CAMPAIGN FINANCE REFORM EXPERTS",OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/f7ad0c61-f5ff-45d4-abd2-0f99b5754cd3,1007623,15,PROP 26 - 2000 SCHOOL FACILITIES. BONDS. LOCAL MAJORITY VOTE. INITIATIVE STATUTE.,52,990573,"LET'S FIX OUR SCHOOLS/YES ON 26, A COALITION OF PARENTS, TEACHERS, BUSINESS AND LABOR",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/f7ad0c61-f5ff-45d4-abd2-0f99b5754cd3,1007623,15,PROP 26 - 2000 SCHOOL FACILITIES. BONDS. LOCAL MAJORITY VOTE. INITIATIVE STATUTE.,53,900868,CALIFORNIA BUILDING INDUSTRY ASSOCIATION FOR BUILDING EXCELLENT SCHOOLS TOMORROW,SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/4b2e0eb6-6d57-4d1d-985c-44d6f4818a77,1007446,16,PROP 27 - 2000 ELECTIONS. TERM LIMITS DECLARATIONS FOR CONGRESSIONAL CANDIDATES. INITIATIVE STATUTE.,54,972014,"YES ON 27: CALIFORNIA TERM LIMIT COMMITTEE, SPONSORED BY THE CALIFORNIA TERM LIMIT COALITION",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/52086b31-c98d-4cdc-97ad-d7bf1c2f8aef,1007626,17,PROP 28 - 2000 REPEAL OF ADDITIONAL TOBACCO SURTAX ENACTED BY PROPOSITION 10. INITIATIVE STATUTE.,55,992302,"STOP BIG TOBACCO - NO ON PROP 28, SPONSORED BY THE AMERICAN CANCER SOCIETY, AMERICAN LUNG ASSOCIATION, AMERICAN HEART ASSOCIATION AND THE CAMPAIGN FOR TOBACCO-FREE-KIDS",OPPOSE
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/52086b31-c98d-4cdc-97ad-d7bf1c2f8aef,1007626,17,PROP 28 - 2000 REPEAL OF ADDITIONAL TOBACCO SURTAX ENACTED BY PROPOSITION 10. INITIATIVE STATUTE.,56,992252,"YES ON PROPOSITION 28 COMMITTEE, SPONSORED BY CALIFORNIA ASSOCIATION OF RETAIL TOBACCONISTS, INC.",SUPPORT
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/52086b31-c98d-4cdc-97ad-d7bf1c2f8aef,1007626,17,PROP 28 - 2000 REPEAL OF ADDITIONAL TOBACCO SURTAX ENACTED BY PROPOSITION 10. INITIATIVE STATUTE.,57,971785,"COALITION TO SAVE PROP 10, A PROJECT OF FORUM FOR EARLY CHILDHOOD DEVELOPMENT, NO ON PROP 28",OPPOSE
