FILING_ID,AMEND_ID,LINE_ITEM,REC_TYPE,FORM_TYPE,TRAN_ID,AMOUNT,EXP_DATE,EXPN_DSCR,MEMO_CODE,MEMO_REFNO,DATE_THRU
993860,0,3,S496,F496,EDT38,9673.37,2/10/2004 12:00:00 AM,mailer,,,
993861,0,1,S496,F496,EDT39,14961.70,2/10/2004 12:00:00 AM,mailer,,,
993862,0,1,S496,F496,EDT40,16428.51,2/10/2004 12:00:00 AM,mailer,,,
993899,0,1,S496,F496,161399,1000,2/12/2004 12:00:00 AM,"Voter Guide-Rich de la Rosa, SJ Council Dist 10",,,
994672,0,1,S496,F496,1828,1000,2/9/2004 12:00:00 AM,Contribution,,,
994673,0,1,S496,F496,1824,2000,2/9/2004 12:00:00 AM,Contribution,,,
994990,1,1,S496,F496,162671,15000,2/16/2004 12:00:00 AM,Mailer/Phone Bank,,,
994990,1,2,S496,F496,162707,2500,2/16/2004 12:00:00 AM,Polling,,,
994991,1,1,S496,F496,162673,11758.92,2/16/2004 12:00:00 AM,Mailer,,,
994991,1,2,S496,F496,162705,2500,2/16/2004 12:00:00 AM,Pollling,,,
995230,0,1,S496,F496,1854,1000,2/17/2004 12:00:00 AM,Contribution,,,
995766,0,1,S496,F496,EDT63,19578.48,2/18/2004 12:00:00 AM,Postage,,,
995837,0,1,S496,F496,CI3669,10000,2/18/2004 12:00:00 AM,Mailer,,,
995863,0,1,S496,F496,EDT10,1195.90,2/18/2004 12:00:00 AM,Lit Campaign Literature,,,
995863,0,2,S496,F496,EDT11,14209,2/18/2004 12:00:00 AM,Lit campaign Literature,,,
995863,0,3,S496,F496,EDT8,939.51,2/18/2004 12:00:00 AM,Lit  Campaign Literature,,,
995863,0,4,S496,F496,EDT9,52094.13,2/18/2004 12:00:00 AM,Postage,,,
995979,0,1,S496,F496,EDT92,42726,2/17/2004 12:00:00 AM,CABLE BUY/PRODUCTION,,,
996001,0,1,S496,F496,2004-0410,14406.67,2/18/2004 12:00:00 AM,Mailer,,2004-0410 ,
